flight_id,date,leg,iop,takeoff_utc_s,aimms_file,ccn_file,cpc_file,cpc_cvi_file,cdp_file,fims_file,merged_file
20160904b,2016-09-04,b,2,67794,AIMMS20_G1_20160904184954_R2_HISCALE020h.ict,CCN_G1_20160904184954_R2_HiScale001s.ict,CPC_G1_20160904184954_R2_HiScale001s.ict,CPC_G1_20160904184954_R2_HiScale001s.ict,CDP_G1_20160904184954_R2_HISCALE001s.ict,FIMS_G1_20160904_R1_L2_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160904b.txt
20160906a,2016-09-06,a,2,50298,AIMMS20_G1_20160906135818_R2_HISCALE020h.ict,CCN_G1_20160906135818_R2_HiScale001s.ict,CPC_G1_20160906135818_R2_HiScale001s.ict,CPC_G1_20160906135818_R2_HiScale001s.ict,CDP_G1_20160906135818_R2_HISCALE001s.ict,FIMS_G1_20160906_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160906a.txt
20160907a,2016-09-07,a,2,50455,AIMMS20_G1_20160907140055_R2_HISCALE020h.ict,CCN_G1_20160907140055_R2_HiScale001s.ict,,,CDP_G1_20160907140055_R2_HISCALE001s.ict,FIMS_G1_20160907_R1_L1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160907a.txt
20160907b,2016-09-07,b,2,62727,,CCN_G1_20160907172527_R2_HiScale001s.ict,,CPC_G1_20160907172527_R2_HiScale001s.ict,CDP_G1_20160907172527_R2_HISCALE001s.ict,FIMS_G1_20160907_R1_L2_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160907b.txt
20160909a,2016-09-09,a,2,54045,AIMMS20_G1_20160909150045_R2_HISCALE020h.ict,CCN_G1_20160909150045_R2_HiScale001s.ict,CPC_G1_20160909150045_R2_HiScale001s.ict,CPC_G1_20160909150045_R2_HiScale001s.ict,CDP_G1_20160909150045_R2_HISCALE001s.ict,FIMS_G1_20160909_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160909a.txt
20160910a,2016-09-10,a,2,57298,AIMMS20_G1_20160910155458_R2_HISCALE020h.ict,CCN_G1_20160910155458_R2_HiScale001s.ict,CPC_G1_20160910155458_R2_HiScale001s.ict,CPC_G1_20160910155458_R2_HiScale001s.ict,CDP_G1_20160910155458_R2_HISCALE001s.ict,FIMS_G1_20160910_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160910a.txt
20160911a,2016-09-11,a,2,54699,AIMMS20_G1_20160911151139_R2_HISCALE020h.ict,CCN_G1_20160911151139_R2_HiScale001s.ict,CPC_G1_20160911151139_R2_HiScale001s.ict,CPC_G1_20160911151139_R2_HiScale001s.ict,CDP_G1_20160911151139_R2_HISCALE001s.ict,FIMS_G1_20160911_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160911a.txt
20160913a,2016-09-13,a,2,58091,AIMMS20_G1_20160913160811_R2_HISCALE020h.ict,CCN_G1_20160913160811_R2_HiScale001s.ict,CPC_G1_20160913160811_R2_HiScale001s.ict,CPC_G1_20160913160811_R2_HiScale001s.ict,CDP_G1_20160913160811_R2_HISCALE001s.ict,FIMS_G1_20160913_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160913a.txt
20160915a,2016-09-15,a,2,57837,AIMMS20_G1_20160915160357_R2_HISCALE020h.ict,CCN_G1_20160915160357_R2_HiScale001s.ict,CPC_G1_20160915160357_R2_HiScale001s.ict,CPC_G1_20160915160357_R2_HiScale001s.ict,CDP_G1_20160915160357_R2_HISCALE001s.ict,FIMS_G1_20160915_R1_L1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160915a.txt
20160915b,2016-09-15,b,2,71769,,CCN_G1_20160915195609_R2_HiScale001s.ict,CPC_G1_20160915195609_R2_HiScale001s.ict,CPC_G1_20160915195609_R2_HiScale001s.ict,CDP_G1_20160915195609_R2_HISCALE001s.ict,FIMS_G1_20160915_R1_L2_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160915b.txt
20160917a,2016-09-17,a,2,59909,AIMMS20_G1_20160917163829_R2_HISCALE020h.ict,CCN_G1_20160917163829_R2_HiScale001s.ict,CPC_G1_20160917163829_R2_HiScale001s.ict,CPC_G1_20160917163829_R2_HiScale001s.ict,CDP_G1_20160917163829_R2_HISCALE001s.ict,FIMS_G1_20160917_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160917a.txt
20160920a,2016-09-20,a,2,58178,AIMMS20_G1_20160920160938_R2_HISCALE020h.ict,,CPC_G1_20160920160938_R2_HiScale001s.ict,,CDP_G1_20160920160938_R2_HISCALE001s.ict,FIMS_G1_20160920_R1_L1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160920a.txt
20160920b,2016-09-20,b,2,73675,,,CPC_G1_20160920202755_R2_HiScale001s.ict,,CDP_G1_20160920202755_R2_HISCALE001s.ict,FIMS_G1_20160920_R1_L2_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160920b.txt
20160921a,2016-09-21,a,2,59617,AIMMS20_G1_20160921163337_R2_HISCALE020h.ict,,CPC_G1_20160921163337_R2_HiScale001s.ict,CPC_G1_20160921163337_R2_HiScale001s.ict,CDP_G1_20160921163337_R2_HISCALE001s.ict,FIMS_G1_20160921_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160921a.txt
20160922a,2016-09-22,a,2,57985,AIMMS20_G1_20160922160625_R2_HISCALE020h.ict,,CPC_G1_20160922160625_R2_HiScale001s.ict,CPC_G1_20160922160625_R2_HiScale001s.ict,CDP_G1_20160922160625_R2_HISCALE001s.ict,FIMS_G1_20160922_R1_HISCALE_001s.txt,aaf.g1.hiscale.mergedSD.20160922a.txt
